lfdn;duration;Group;Gender;Age;Education;SocialStatus;MaritalStatus;Relationship;TinderAcc;AccFreqUse;DatingYesNo;Socialiazing1;Socialiazing2;SocPress1;Socpress2;Socapprov1;Socapprov2;Entetain1;Entertain2;PassTime1;PassTime2;RelSeek1;RelSeek2;InfoSeek1;InfoSeek2;SexualExp1;SexualExp2;SexualExp3;Rosenberg1;Rosenberg2;Rosenberg3;Rosenberg4;Rosenberg5;Rosenberg6;Rosenberg7;Rosenberg8;Rosenberg9;Rosenberg10;BAS1;BAS2;BAS3;BAS4 ;BAS5;BAS6;BAS7;BAS8;BAS9;BAS10;BAS11;BAS12;BAS13;Sport1;Sport2;Attention1;Attention2;Attention3;Attention4;Motor1;Motor2;Motor3;FuturePlan1;FuturePlan2;FuturePlan3;FuturePlan4
122;233;TUser;Female;23;University;Student;Single;PunctSex;Yes;4;1;1;2;3;3;3;3;1;1;1;1;2;3;1;3;3;3;3;3;1;0;1;2;0;1;2;3;2;2;2;1;2;2;3;3;3;4;2;2;3;1;1;1;4;3;4;1;3;3;2;1;4;1;2
123;271;TUser;Female;22;University;Student;Single;PunctSex;Yes;4;1;1;1;3;1;3;1;1;1;1;1;1;1;3;2;1;1;1;3;0;1;3;1;2;1;2;1;0;2;1;1;1;1;4;2;2;1;1;1;2;1;2;1;3;2;4;1;3;3;2;2;1;4;1
124;558;TUser;Male;26;University;Student;Single;RelOpen;Yes;2;1;1;1;3;1;3;3;1;1;1;1;1;2;3;3;2;1;2;2;2;1;1;3;2;1;1;3;1;2;3;1;2;2;2;1;2;3;2;1;3;1;2;1;4;3;3;2;4;2;1;2;4;1;1
125;478;TUser;Female;21;University;Student;Single;PunctSex;Yes;4;2;3;2;3;1;3;3;1;3;1;1;3;1;2;2;2;1;3;1;2;1;1;1;2;2;1;1;2;3;3;1;3;2;2;3;4;1;4;3;3;3;2;2;4;2;4;3;4;3;2;4;3;2;4
126;431;TUser;Female;20;University;EmployesStudent;Single;None;Yes;5;1;1;1;3;3;2;1;1;1;1;1;3;1;2;3;3;1;2;1;1;0;1;1;1;1;0;2;1;2;3;1;3;2;2;3;2;1;2;2;3;2;1;1;2;3;2;1;4;3;2;1;1;1;1
127;294;TUser;Male;24;University;Student;Single;None;Yes;3;1;1;1;3;3;2;1;1;1;1;1;1;1;1;2;2;2;2;2;1;0;3;3;2;1;2;3;0;1;1;1;1;2;2;2;2;1;2;2;2;1;2;2;2;2;3;1;3;1;3;2;3;1;1
128;346;TUser;Female;19;University;Student;Single;None;Yes;4;1;1;2;3;1;3;1;1;1;1;1;2;1;1;3;2;2;1;2;1;0;3;2;1;1;1;1;1;2;2;1;1;2;3;2;3;1;1;2;2;1;2;2;3;2;2;1;3;3;2;2;4;4;2
129;225;TUser;Female;25;University;Student;Single;RelOpen;Yes;2;1;3;1;1;1;2;2;1;1;1;1;3;2;1;1;1;2;3;2;3;1;1;1;2;1;0;1;1;3;3;1;4;2;2;2;2;3;3;2;3;2;2;2;2;2;2;3;3;2;2;2;3;3;2
130;268;TUser;Male;20;University;Student;Single;RelClose;Yes;2;1;1;1;3;1;1;3;1;2;1;1;3;3;1;2;1;3;1;3;0;0;3;2;2;1;3;3;0;1;1;1;1;1;2;2;1;1;1;3;4;1;4;4;2;1;4;2;3;1;1;3;1;3;3
131;326;TUser;Female;25;University;EmployesStudent;Single;RelOpen;Yes;3;1;3;3;3;3;2;1;2;3;1;1;3;2;1;1;3;3;2;3;2;1;3;1;1;1;2;2;1;2;1;1;1;1;3;2;2;1;1;2;1;1;1;2;2;1;1;1;3;1;3;1;2;4;2
